需求编号,需求描述,运营平台需求编号,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,UIUE,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,UIUE,L1,验证待办详细页面展示企业章,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面,1.根据登录人本人申请的证书信息带出企业章；,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能+UIUE,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,功能+UIUE,L1,验证添加组织已有印章列表展示正确,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”,"1.弹出列表弹框
2.左上角展示合作单位名称，全部企业章
3. 展示搜索框，后面展示放大镜按钮，同一行红色字体展示”勾选即默认引用当前印章，若需取消引用，取消勾选即可。
4. 字段：全选框、印章名称、上传人、上传日期（格式：2023/07/10）、印章图片",通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,UIUE,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,搜索,L1,验证添加组织已有印章列表输入框默认文字,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”检查列表输入框,1.搜索框默认展示文字“请输入印章名称/上传人”,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,搜索,L1,验证添加组织已有印章列表输入框功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”检查列表输入框，输入精确内容点击放大镜,1.内容和搜索内容一致,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,搜索,L1,验证添加组织已有印章列表输入框功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”检查列表输入框，输入模糊内容点击放大镜,1.内容和搜索内容一致,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,搜索,L1,验证添加组织已有印章列表输入框功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”检查列表输入框，输入特殊字符点击放大镜,1.能匹配到就可以展示内容，匹配不到不展示内容,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,搜索,L1,验证添加组织已有印章列表输入框功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”检查列表输入框，输入过长字符（大于50汉字）,1.不可输入,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,查看,L1,验证添加组织已有印章列表查看功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，点击印章图片的查看按钮,1.可以查看图片,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,勾选,L1,验证添加组织已有印章列表勾选功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，勾选全选按钮，点击确定按钮,1.全部被勾选，勾选后系统自动添加至主页面[印章信息]处,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,勾选,L1,验证添加组织已有印章列表勾选功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，勾选自己上传的印章，点击确定按钮,1.无法勾选,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,勾选,L1,验证添加组织已有印章列表勾选功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，勾选的印章大于20条,1.只能勾选20条，超过弹出提示：“单次最多添加20条数据！”,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,勾选,L1,验证添加组织已有印章列表勾选功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，勾选部分按钮，点击确定按钮,1.部分被勾选，勾选后系统自动添加至主页面[印章信息]处,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,勾选,L1,验证添加组织已有印章列表勾选功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，不勾选，点击确定按钮,1.提示需要勾选,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,关闭,L1,验证添加组织已有印章列表关闭功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，点击关闭按钮,1.关闭当前弹框,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,翻页,L2,验证添加组织已有印章列表翻页功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，点击翻页,1.可以正常翻页（向前、向后）,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,关闭,L2,验证添加组织已有印章列表关闭弹框功能,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加组织已有印章”，在列表页面，点击右上角的叉叉,1.弹框关闭,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,UIUE,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,UIUE,L3,验证“添加新印章”弹框展示,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章",1.点击待办进入详细页面，点击按钮“添加新印章”,"1.弹出添加印章弹框
2.弹框展示：新增印章名称、新增印章图片，上传按钮，取消、确定按钮",通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,名称重复,L3,验证“添加新印章”名称重复,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章
",1.点击待办进入详细页面，点击按钮“添加新印章”，在弹框的名称输入已经申请成功的印章的名称，点击确定按钮,1.弹出提示”“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”,通过,成亚珍,UAT,
9506,"【背景】PMS现状：内外部企业证书同组织共用，根据证书申请人组织信息带出所属组织下所有的企业印章，河北公司反馈不符合管理要求及实际业务场景
【需求】需要根据证书申请人隔离企业证书
【方案】
1、外部企业证书申请人填报、查看页面、及文件用印调整为默认根据登录人本人申请的证书信息带出企业章；
2、支持外部用户在企业证书申请、查看时点击【添加组织已有印章】添加本人所属单位下的所有已生效印章，并发起申请
3、【添加新印章】时校验当前合作单位下是否有重复的在途或已生效印章名称，存在时提示失败：“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”
4、外部企业证书申请、查看页面[印章信息]区域加红字提示“此处仅显示本人申请的印章，如需使用组织已有印章，请“添加组织已有印章”后申请使用。”
5、外部企业证书申请、查看页面【添加印章】弹窗字段名称“新增印张图片名称”改为“新增印章名称”",,功能,我的待办/CA用户配置- 企业证书,我的待办/CA用户配置- 企业证书,名称重复,L3,验证“添加新印章”名称重复,"1.申请人收到企业证书申请待办
2. 该合作单位有其他申请完成的企业章
",1.点击待办进入详细页面，点击按钮“添加新印章”，在弹框的名称输入正在申请中的印章的名称，点击确定按钮,1.弹出提示”“您添加的印章名称与组织已有印章重复，如需申请请直接引用！”,通过,成亚珍,UAT,
